"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
2699,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","豊里","千歳(北海道)","30分?60分",9800000,"","","195",,"長方形","11.0","110","平成8年","木造","住宅","","南西","市道",8.0,"準工業地域",60,200,"2011年第４四半期","",""
2700,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","文京","千歳(北海道)","1H30?2H",13000000,"","","300",,"長方形","16.5","125","平成8年","木造","住宅","","北","市道",9.0,"第１種低層住居専用地域",40,60,"2013年第４四半期","",""
2701,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",15000000,"73000","","680",22000,"不整形","","","","","","","南西","市道",8.0,"第１種低層住居専用地域",40,60,"2012年第１四半期","",""
2702,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","豊里","千歳(北海道)","27",13000000,"","","230",,"ほぼ台形","14.0","90","平成5年","木造","住宅","","北西","市道",10.0,"準工業地域",60,200,"2011年第４四半期","",""
2703,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","豊里","千歳(北海道)","28",8500000,"","","195",,"長方形","10.9","100","昭和62年","木造","住宅","","南西","市道",8.0,"準工業地域",60,200,"2011年第１四半期","","調停・競売等"
2704,"宅地(土地)","住宅地","01224","北海道","千歳市","文京","千歳(北海道)","1H30?2H",5000000,"52000","","310",16000,"長方形","15.2","","","","","","西","市道",9.0,"第１種低層住居専用地域",40,60,"2013年第２四半期","",""
2705,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","真々地","千歳(北海道)","28",18000000,"","","220",,"長方形","11.4","110","平成20年","木造","住宅","住宅","南東","市道",4.0,"第１種中高層住居専用地域",60,200,"2015年第４四半期","",""
2706,"宅地(土地)","住宅地","01224","北海道","千歳市","文京","千歳(北海道)","1H30?2H",5100000,"52000","","320",16000,"長方形","13.0","","","","","","西","市道",8.0,"第１種低層住居専用地域",40,60,"2013年第２四半期","",""
2707,"林地","","01224","北海道","千歳市","新川","","",1200000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2011年第１四半期","",""
2708,"宅地(土地)","住宅地","01224","北海道","千歳市","文京","千歳(北海道)","1H30?2H",5800000,"65000","","300",20000,"ほぼ長方形","12.0","","","","","","西","市道",30.0,"第１種低層住居専用地域",40,60,"2013年第１四半期","",""
2709,"宅地(土地)","住宅地","01224","北海道","千歳市","真々地","千歳(北海道)","28",6600000,"100000","","210",31000,"不整形","14.0","","","","","住宅","北東","市道",8.0,"第１種中高層住居専用地域",60,200,"2015年第２四半期","",""
2710,"宅地(土地)","住宅地","01224","北海道","千歳市","真々地","千歳(北海道)","30分?60分",8000000,"110000","","250",32000,"ほぼ長方形","14.0","","","","","住宅","南東","市道",6.0,"第２種中高層住居専用地域",60,200,"2015年第１四半期","",""
2711,"宅地(土地)","住宅地","01224","北海道","千歳市","文京","千歳(北海道)","1H30?2H",5800000,"59000","","320",18000,"長方形","13.0","","","","","","西","市道",9.0,"第１種低層住居専用地域",40,60,"2013年第１四半期","",""
2712,"宅地(土地)","住宅地","01224","北海道","千歳市","文京","千歳(北海道)","1H30?2H",5800000,"60000","","320",18000,"長方形","16.0","","","","","","東","市道",9.0,"第１種低層住居専用地域",40,60,"2013年第１四半期","",""
2713,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","文京","千歳(北海道)","1H30?2H",17000000,"","","260",,"長方形","14.2","75","平成24年","木造","住宅","","北","市道",9.0,"第１種低層住居専用地域",40,60,"2013年第１四半期","",""
2714,"農地","","01224","北海道","千歳市","協和","","",6500000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2012年第２四半期","",""
2715,"農地","","01224","北海道","千歳市","協和","","",4000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2012年第１四半期","",""
